,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2019_pov_children,25.5,12.4,17.0,17.5,28.8,19.4,16.2,33.6,7.2,17.3,22.1,15.7,16.1,22.2,25.9,27.0,12.0,21.6,4.4,12.1
2019_pov_children_error,9.4,5.3,6.0,3.6,12.8,3.9,3.1,8.5,4.4,4.5,9.7,5.9,5.2,10.1,3.5,9.5,5.0,5.9,2.1,4.8
2019_pov_adult,15.9,10.5,15.2,11.2,15.4,11.6,13.3,14.4,6.4,11.7,18.7,9.5,9.8,11.3,14.3,13.9,8.4,17.3,4.4,6.6
2019_pov_adult_error,4.2,2.6,3.6,1.2,4.2,1.5,1.5,3.2,1.7,2.0,4.4,2.9,2.0,3.1,1.4,2.5,2.3,2.7,1.4,1.9
2019_pov_no_hs,29.2,28.9,38.5,23.0,29.5,28.6,29.0,29.9,12.4,28.2,34.9,24.2,19.4,22.3,32.1,28.8,14.0,34.0,22.6,12.8
2019_pov_no_hs_error,10.9,9.4,11.2,4.3,12.1,6.1,6.5,9.9,6.9,16.1,15.1,8.2,6.7,8.7,4.2,5.9,6.6,10.9,11.9,7.8
2019_pov_bach,6.6,3.0,5.0,5.4,5.3,4.0,4.1,2.2,1.8,4.1,3.0,4.0,7.6,4.5,2.9,4.6,2.3,6.1,1.4,2.8
2019_pov_bach_error,3.8,1.8,3.5,1.2,5.3,1.4,0.9,1.6,1.2,2.1,2.5,3.0,2.9,3.1,0.8,1.8,1.3,2.8,0.7,1.9
2019_pov_employed,5.1,4.2,6.3,6.5,6.9,5.6,6.5,6.4,3.1,7.2,10.6,3.1,5.8,7.0,6.7,6.8,4.3,7.7,2.3,4.0
2019_pov_employed_error,2.0,1.7,2.6,0.8,3.3,1.0,1.2,2.3,1.4,1.9,4.3,1.4,1.6,2.9,0.9,1.7,1.6,1.6,1.0,1.7
2019_pov_no_work,27.4,17.6,24.6,22.3,20.4,19.5,23.1,27.2,12.9,17.9,22.1,22.4,16.8,18.1,27.2,19.7,12.7,26.0,10.6,11.7
2019_pov_no_work_error,6.4,3.8,6.6,2.3,6.0,2.9,2.6,5.1,3.7,3.7,5.5,5.5,3.7,4.2,2.4,3.5,3.9,4.9,3.2,3.1
