"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0500000US47001","Anderson County, Tennessee","32158","1246","4.8","2.1","7.4","2.7","6.6","2.2","8.5","2.7","12.1","3.0","17.3","3.5","13.6","3.3","14.3","3.4","9.6","2.7","5.8","2.2","67746","9389","82246","6431","33.0","(X)","(X)","(X)","(X)","(X)","20593","1547","5.3","2.8","1.5","1.7","3.2","1.7","6.4","2.7","13.4","4.2","17.4","4.1","16.8","4.6","19.0","5.0","9.7","2.7","7.2","2.9","80061","7060","94596","8032","(X)","(X)","33.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88048","8671","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11565","1641","5.1","3.3","17.9","6.0","12.2","5.0","12.5","5.3","11.8","5.1","17.9","7.1","5.3","3.1","6.5","4.4","7.5","5.9","3.3","2.7","37884","8802","57198","10777","(X)","(X)","(X)","(X)","32.3","(X)",
"0500000US47009","Blount County, Tennessee","56211","1462","3.8","1.6","4.0","1.2","6.8","1.9","7.2","1.9","13.5","2.4","19.0","2.6","15.2","2.7","18.6","3.2","5.0","1.5","7.1","2.1","69756","4643","91775","7347","36.6","(X)","(X)","(X)","(X)","(X)","39970","2160","2.7","1.4","1.9","0.9","3.2","1.5","6.4","2.4","11.3","2.7","18.4","3.2","19.3","3.5","21.4","4.0","6.0","2.1","9.3","2.8","80499","2955","106677","8699","(X)","(X)","38.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","91775","7600","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16241","2134","8.9","4.5","9.5","3.5","15.7","5.2","10.7","3.7","18.9","5.8","18.9","5.4","6.9","5.2","6.3","3.5","2.5","2.1","1.6","1.6","38896","5631","49847","6200","(X)","(X)","(X)","(X)","25.9","(X)",
"0500000US47011","Bradley County, Tennessee","42035","1308","4.2","1.7","4.3","1.8","10.2","2.6","10.0","2.7","12.9","2.8","16.9","3.1","14.7","2.7","16.6","3.1","5.7","2.2","4.5","1.6","63659","5619","80138","6492","41.7","(X)","(X)","(X)","(X)","(X)","29126","1979","1.6","0.9","2.0","1.4","9.9","3.5","6.2","2.8","11.5","3.0","17.1","3.8","17.9","3.2","20.9","4.2","7.3","3.1","5.7","2.0","76437","4585","92618","8161","(X)","(X)","42.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90080","7824","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12909","1779","10.0","4.8","9.5","5.2","15.1","4.7","20.3","6.8","14.4","5.8","14.8","5.8","6.1","4.0","6.0","3.6","2.1","2.0","1.7","1.6","32830","3689","48500","7464","(X)","(X)","(X)","(X)","38.9","(X)",
"0500000US47037","Davidson County, Tennessee","327791","3574","5.7","1.0","3.4","0.7","5.8","0.8","6.1","0.9","13.0","1.1","18.1","1.4","13.6","1.3","14.3","1.2","8.3","0.9","11.8","1.0","72473","2059","106423","4172","36.4","(X)","(X)","(X)","(X)","(X)","164791","5588","4.2","1.4","1.6","0.7","3.8","1.1","3.7","1.0","9.5","1.4","15.9","1.7","13.9","1.7","18.5","1.6","11.0","1.4","17.9","1.7","95250","3209","132367","5083","(X)","(X)","37.8","(X)","(X)","(X)","113139","4798","1.2","0.6","0.9","0.6","1.6","0.7","2.2","0.8","6.3","1.1","13.3","1.7","14.5","2.2","22.1","2.3","13.9","1.9","23.9","2.3","120020","5381","160262","7036","(X)","(X)","(X)","(X)","(X)","(X)","163000","6433","7.8","1.6","5.6","1.2","8.0","1.3","8.7","1.5","16.8","2.2","20.4","2.0","12.6","2.0","10.1","1.4","4.9","1.1","5.2","1.0","52658","2168","77491","6438","(X)","(X)","(X)","(X)","34.0","(X)",
"0500000US47059","Greene County, Tennessee","29065","1233","6.7","3.8","9.1","3.0","10.1","3.4","10.7","3.3","14.5","4.0","21.6","4.6","11.6","3.0","10.3","2.9","3.2","1.8","2.2","1.5","48918","6418","62860","7783","40.6","(X)","(X)","(X)","(X)","(X)","19265","1775","5.7","4.5","6.3","3.1","7.0","3.5","7.4","4.0","17.6","4.8","20.1","4.6","14.9","4.0","13.1","3.4","4.9","2.7","2.9","2.2","54445","8576","73024","11303","(X)","(X)","37.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","70730","7627","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9800","1676","10.5","6.2","15.1","6.2","16.7","6.4","16.8","6.5","13.0","7.0","22.2","8.0","1.4","2.2","3.4","3.1","0.0","2.1","0.8","1.2","30726","6252","38336","5877","(X)","(X)","(X)","(X)","42.8","(X)",
"0500000US47063","Hamblen County, Tennessee","26994","849","7.4","5.2","3.4","2.3","8.8","3.2","12.8","4.9","10.3","5.3","16.6","4.0","12.3","4.3","15.8","4.3","5.6","3.3","7.2","3.1","59418","9341","82069","10259","46.5","(X)","(X)","(X)","(X)","(X)","19564","1507","4.7","4.7","1.0","1.2","5.0","3.0","11.8","5.6","10.3","6.0","16.5","5.0","13.5","5.8","20.5","5.7","9.8","5.2","6.9","2.8","76119","11679","95070","11856","(X)","(X)","49.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","83397","10821","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7430","1460","15.3","11.5","11.0","7.4","19.8","9.1","14.6","7.5","8.9","6.5","15.6","7.4","10.7","7.1","1.9","2.3","0.0","2.8","2.2","2.9","28370","6655","44151","12753","(X)","(X)","(X)","(X)","37.1","(X)",
"0500000US47065","Hamilton County, Tennessee","152851","2515","3.1","0.7","4.2","1.1","6.5","1.1","7.1","1.1","11.7","1.8","16.8","2.1","13.7","1.7","18.0","1.7","8.4","1.3","10.5","1.1","76219","3846","104450","3940","37.6","(X)","(X)","(X)","(X)","(X)","95201","4178","1.6","0.7","2.3","1.0","3.3","1.0","5.9","1.6","9.4","1.6","15.0","2.0","13.5","1.9","22.0","2.2","11.8","2.0","15.2","1.8","98379","4892","128083","6064","(X)","(X)","39.8","(X)","(X)","(X)","73018","3801","0.8","0.5","1.0","0.6","1.3","0.6","3.4","1.3","7.0","1.7","13.2","2.1","13.9","2.2","26.1","2.7","14.1","2.4","19.1","2.4","114372","6273","148670","8110","(X)","(X)","(X)","(X)","(X)","(X)","57650","3755","6.5","1.8","7.3","2.5","12.1","2.4","9.5","2.1","16.0","3.3","21.3","3.5","12.3","2.9","10.4","2.3","2.5","0.9","2.1","0.9","47924","5726","61913","4875","(X)","(X)","(X)","(X)","33.6","(X)",
"0500000US47093","Knox County, Tennessee","201193","2525","5.1","1.0","4.3","0.9","7.0","1.1","7.7","1.0","11.9","1.4","17.3","1.3","13.6","1.2","16.1","1.7","7.7","1.0","9.3","1.0","69999","2549","97387","3927","30.5","(X)","(X)","(X)","(X)","(X)","124349","4134","2.3","0.8","1.2","0.7","3.7","0.9","5.4","1.1","10.3","1.6","16.9","1.7","15.8","1.5","20.7","2.0","10.9","1.4","12.7","1.5","90456","2935","118843","5300","(X)","(X)","32.4","(X)","(X)","(X)","95033","3526","0.8","0.4","0.6","0.4","2.7","1.0","3.2","0.8","6.8","1.6","16.7","1.8","16.5","1.7","23.9","2.6","13.0","1.8","15.8","1.8","104581","5489","135810","6684","(X)","(X)","(X)","(X)","(X)","(X)","76844","4027","10.2","2.1","9.4","2.1","12.5","2.4","12.0","2.3","14.8","2.3","18.2","2.2","10.5","1.9","6.8","1.7","2.3","1.0","3.4","1.2","40607","2345","59922","5294","(X)","(X)","(X)","(X)","26.3","(X)",
"0500000US47113","Madison County, Tennessee","38590","1317","5.7","2.2","4.4","1.6","7.3","2.6","11.8","3.2","14.9","3.5","16.2","3.2","12.9","3.1","16.8","3.3","5.1","1.9","4.9","1.5","55666","5382","78630","5830","42.5","(X)","(X)","(X)","(X)","(X)","24499","1839","3.6","1.6","1.7","1.4","1.5","1.0","6.8","3.1","18.0","4.8","16.8","4.1","18.6","4.9","19.6","4.3","6.6","2.8","6.7","2.2","76094","4289","94479","6845","(X)","(X)","45.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","93879","8352","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14091","2018","9.5","5.5","9.0","4.3","17.5","6.0","20.8","7.1","10.5","4.7","15.3","6.0","5.2","3.4","8.2","4.1","2.3","2.0","1.7","1.9","30982","3732","48492","9236","(X)","(X)","(X)","(X)","37.1","(X)",
